County,Year,Month,Labor Force,Employment,Unemployment,Unemp. Rate
Lassen ,2021,August,"8,540","7,910",630,7.4%
Lassen ,2021,September,"8,630","8,110",520,6.0%
Lassen ,2021,October,"8,910","8,420",490,5.5%
Lassen ,2021,November,"8,350","7,880",470,5.6%
Lassen ,2021,December,"8,200","7,730",470,5.7%
Lassen ,2022,January,"8,230","7,670",560,6.8%
Lassen ,2022,February,"8,150","7,610",540,6.6%
Lassen ,2022,March,"8,170","7,690",480,5.9%
Lassen ,2022,April,"7,980","7,610",370,4.6%
Lassen ,2022,May,"8,080","7,760",320,3.9%
Lassen ,2022,June,"8,060","7,690",370,4.6%
Lassen ,2022,July,"7,900","7,520",380,4.8%
Lassen ,2022,August,"8,080","7,680",400,4.9%
Lassen ,2022,September,"8,430","8,080",340,4.1%
Lassen ,2022,October,"8,580","8,220",360,4.2%
Lassen ,2022,November,"7,960","7,550",410,5.1%
Lassen ,2022,December,"7,720","7,290",430,5.6%
Lassen ,2023,January,"7,800","7,260",550,7.0%
Lassen ,2023,February,"7,870","7,290",580,7.3%
Lassen ,2023,March,"7,930","7,380",540,6.9%
Lassen ,2023,April,"7,830","7,400",430,5.5%
Lassen ,2023,May,"7,930","7,550",390,4.9%
Lassen ,2023,June,"7,890","7,500",400,5.1%
Lassen ,2023,July,"7,800","7,400",410,5.2%
Lassen ,2023,August,"7,980","7,550",430,5.4%
Lassen ,2023,September,"8,460","8,070",390,4.6%
Lassen ,2023,October,"8,540","8,140",400,4.7%
Lassen ,2023,November,"7,980","7,570",410,5.1%
Lassen ,2023,December,"7,750","7,300",450,5.8%
Lassen ,2024,January,"7,910","7,340",580,7.3%
Lassen ,2024,February,"8,030","7,380",650,8.1%
Lassen ,2024,March,"8,100","7,500",600,7.4%
Lassen ,2024,April,"7,960","7,450",510,6.4%
Lassen ,2024,May,"8,030","7,610",430,5.3%
Lassen ,2024,June,"8,020","7,540",480,6.0%
Lassen ,2024,July,"7,930","7,410",530,6.7%
Lassen ,2024,August,"8,090","7,580",520,6.4%
Lassen ,2024,September,"8,640","8,190",450,5.2%
Lassen ,2024,October,"8,920","8,450",470,5.2%
Lassen ,2024,November,"8,460","7,990",470,5.6%
Lassen ,2024,December,"7,960","7,460",500,6.3%
Los Angeles,2010,January,"4,904,800","4,267,400","637,400",13.0%
Los Angeles,2010,February,"4,936,400","4,317,100","619,300",12.5%
Los Angeles,2010,March,"4,937,800","4,316,800","620,900",12.6%
Los Angeles,2010,April,"4,941,600","4,342,700","598,900",12.1%
Los Angeles,2010,May,"4,911,900","4,316,100","595,800",12.1%
Los Angeles,2010,June,"4,913,300","4,299,600","613,700",12.5%
Los Angeles,2010,July,"4,936,900","4,287,900","649,000",13.1%
Los Angeles,2010,August,"4,939,100","4,297,800","641,300",13.0%
Los Angeles,2010,September,"4,951,000","4,325,300","625,700",12.6%
Los Angeles,2010,October,"4,919,500","4,306,100","613,400",12.5%
Los Angeles,2010,November,"4,943,400","4,313,300","630,000",12.7%
Los Angeles,2010,December,"4,923,600","4,313,600","609,900",12.4%
Los Angeles,2011,January,"4,921,400","4,291,700","629,600",12.8%
Los Angeles,2011,February,"4,929,100","4,324,700","604,500",12.3%
Los Angeles,2011,March,"4,915,200","4,317,500","597,700",12.2%
Los Angeles,2011,April,"4,929,300","4,348,600","580,700",11.8%
Los Angeles,2011,May,"4,906,700","4,321,400","585,300",11.9%
Los Angeles,2011,June,"4,912,600","4,293,500","619,200",12.6%
Los Angeles,2011,July,"4,920,200","4,279,500","640,700",13.0%
Los Angeles,2011,August,"4,924,500","4,295,900","628,600",12.8%
Los Angeles,2011,September,"4,950,900","4,333,600","617,300",12.5%
Los Angeles,2011,October,"4,936,500","4,342,400","594,000",12.0%
Los Angeles,2011,November,"4,921,400","4,351,900","569,400",11.6%
Los Angeles,2011,December,"4,908,700","4,343,400","565,300",11.5%
Los Angeles,2012,January,"4,883,400","4,306,300","577,200",11.8%
Los Angeles,2012,February,"4,916,600","4,350,300","566,200",11.5%
Los Angeles,2012,March,"4,900,200","4,349,700","550,400",11.2%
Los Angeles,2012,April,"4,880,500","4,366,900","513,700",10.5%
Los Angeles,2012,May,"4,897,100","4,374,900","522,200",10.7%
Los Angeles,2012,June,"4,894,500","4,349,600","544,900",11.1%
Los Angeles,2012,July,"4,912,200","4,341,300","570,900",11.6%
Los Angeles,2012,August,"4,890,700","4,342,900","547,800",11.2%
Los Angeles,2012,September,"4,912,000","4,401,100","511,000",10.4%
Los Angeles,2012,October,"4,928,400","4,418,400","510,000",10.3%
Los Angeles,2012,November,"4,938,700","4,445,600","493,100",10.0%
Los Angeles,2012,December,"4,933,800","4,431,300","502,500",10.2%
Los Angeles,2013,January,"4,937,500","4,399,300","538,200",10.9%
Los Angeles,2013,February,"4,955,200","4,448,100","507,200",10.2%
Los Angeles,2013,March,"4,928,800","4,440,400","488,400",9.9%
Los Angeles,2013,April,"4,938,100","4,470,900","467,100",9.5%
Los Angeles,2013,May,"4,963,000","4,485,300","477,700",9.6%
Los Angeles,2013,June,"4,985,400","4,468,600","516,700",10.4%
Los Angeles,2013,July,"4,988,000","4,460,600","527,300",10.6%
Los Angeles,2013,August,"4,975,300","4,470,100","505,300",10.2%
Los Angeles,2013,September,"5,005,300","4,522,700","482,500",9.6%
Los Angeles,2013,October,"4,962,600","4,488,500","474,000",9.6%
Los Angeles,2013,November,"4,972,600","4,524,800","447,800",9.0%
Los Angeles,2013,December,"4,941,600","4,518,600","423,000",8.6%
Los Angeles,2014,January,"4,943,400","4,504,000","439,500",8.9%
Los Angeles,2014,February,"4,978,400","4,544,900","433,500",8.7%
Los Angeles,2014,March,"4,988,300","4,559,200","429,100",8.6%
Los Angeles,2014,April,"4,956,300","4,574,700","381,700",7.7%
Los Angeles,2014,May,"4,967,300","4,569,400","397,900",8.0%
Los Angeles,2014,June,"4,970,200","4,558,800","411,400",8.3%
Los Angeles,2014,July,"5,003,300","4,558,200","445,100",8.9%
Los Angeles,2014,August,"4,998,200","4,561,900","436,300",8.7%
Los Angeles,2014,September,"5,026,300","4,619,000","407,400",8.1%
Los Angeles,2014,October,"5,012,300","4,617,200","395,100",7.9%
Los Angeles,2014,November,"5,023,200","4,634,500","388,700",7.7%
Los Angeles,2014,December,"4,994,600","4,629,100","365,500",7.3%
Los Angeles,2015,January,"5,008,100","4,610,900","397,200",7.9%
Los Angeles,2015,February,"5,022,300","4,649,600","372,800",7.4%
Los Angeles,2015,March,"5,001,300","4,641,700","359,600",7.2%
Los Angeles,2015,April,"5,004,400","4,660,700","343,800",6.9%
Los Angeles,2015,May,"5,024,000","4,673,700","350,300",7.0%
Los Angeles,2015,June,"4,984,100","4,638,300","345,800",6.9%
Los Angeles,2015,July,"4,993,900","4,636,600","357,300",7.2%
Los Angeles,2015,August,"4,955,900","4,623,300","332,600",6.7%
Los Angeles,2015,September,"4,965,100","4,662,800","302,300",6.1%
Los Angeles,2015,October,"4,968,000","4,677,500","290,500",5.8%
Los Angeles,2015,November,"4,995,600","4,715,100","280,600",5.6%
Los Angeles,2015,December,"4,966,200","4,694,200","272,000",5.5%
Los Angeles,2016,January,"4,986,900","4,701,800","285,100",5.7%
Los Angeles,2016,February,"5,028,000","4,761,000","267,100",5.3%
Los Angeles,2016,March,"5,025,600","4,766,100","259,500",5.2%
Los Angeles,2016,April,"5,020,000","4,773,800","246,300",4.9%
Los Angeles,2016,May,"5,009,600","4,772,300","237,400",4.7%
Los Angeles,2016,June,"5,026,500","4,750,900","275,600",5.5%
Los Angeles,2016,July,"5,063,200","4,772,000","291,300",5.8%
Los Angeles,2016,August,"5,044,800","4,754,800","290,100",5.7%
Los Angeles,2016,September,"5,094,000","4,809,000","285,100",5.6%
Los Angeles,2016,October,"5,071,400","4,800,900","270,500",5.3%
Los Angeles,2016,November,"5,075,800","4,824,500","251,300",5.0%
Los Angeles,2016,December,"5,050,500","4,806,300","244,200",4.8%
Los Angeles,2017,January,"5,064,700","4,799,100","265,600",5.2%
Los Angeles,2017,February,"5,107,900","4,855,800","252,100",4.9%
Los Angeles,2017,March,"5,115,500","4,877,600","237,900",4.7%
Los Angeles,2017,April,"5,097,900","4,872,500","225,400",4.4%
Los Angeles,2017,May,"5,086,400","4,862,700","223,800",4.4%
Los Angeles,2017,June,"5,091,100","4,841,800","249,300",4.9%
Los Angeles,2017,July,"5,130,900","4,855,600","275,300",5.4%
Los Angeles,2017,August,"5,106,400","4,831,200","275,200",5.4%
Los Angeles,2017,September,"5,158,300","4,910,100","248,300",4.8%
Los Angeles,2017,October,"5,110,900","4,883,300","227,500",4.5%
Los Angeles,2017,November,"5,124,900","4,901,600","223,300",4.4%
Los Angeles,2017,December,"5,092,700","4,870,300","222,400",4.4%
Los Angeles,2018,January,"5,105,400","4,853,600","251,800",4.9%
Los Angeles,2018,February,"5,150,500","4,910,000","240,500",4.7%
Los Angeles,2018,March,"5,147,100","4,916,400","230,700",4.5%
Los Angeles,2018,April,"5,119,100","4,899,300","219,700",4.3%
Los Angeles,2018,May,"5,106,300","4,892,300","213,900",4.2%
Los Angeles,2018,June,"5,118,800","4,865,100","253,700",5.0%
Los Angeles,2018,July,"5,144,800","4,880,300","264,500",5.1%
Los Angeles,2018,August,"5,089,000","4,828,100","260,900",5.1%
Los Angeles,2018,September,"5,136,000","4,897,400","238,700",4.6%
Los Angeles,2018,October,"5,129,400","4,897,000","232,400",4.5%
Los Angeles,2018,November,"5,152,500","4,927,600","224,900",4.4%
Los Angeles,2018,December,"5,126,800","4,898,300","228,500",4.5%
Los Angeles,2019,January,"5,140,600","4,884,500","256,100",5.0%
Los Angeles,2019,February,"5,154,400","4,928,800","225,600",4.4%
Los Angeles,2019,March,"5,152,000","4,919,500","232,500",4.5%
Los Angeles,2019,April,"5,098,700","4,890,600","208,100",4.1%
Los Angeles,2019,May,"5,125,900","4,916,200","209,600",4.1%
Los Angeles,2019,June,"5,121,100","4,884,100","237,000",4.6%
Los Angeles,2019,July,"5,164,400","4,908,700","255,700",5.0%
Los Angeles,2019,August,"5,139,100","4,888,300","250,900",4.9%
Los Angeles,2019,September,"5,212,500","4,980,300","232,300",4.5%
Los Angeles,2019,October,"5,195,100","4,965,200","229,900",4.4%
Los Angeles,2019,November,"5,245,800","5,024,000","221,800",4.2%
Los Angeles,2019,December,"5,218,300","4,997,300","221,000",4.2%
Los Angeles,2020,January,"5,274,900","5,014,600","260,300",4.9%
Los Angeles,2020,February,"5,310,500","5,054,300","256,200",4.8%
Los Angeles,2020,March,"5,041,100","4,704,300","336,800",6.7%
Los Angeles,2020,April,"4,797,300","3,989,800","807,500",16.8%
Los Angeles,2020,May,"4,711,500","3,821,000","890,600",18.9%
Los Angeles,2020,June,"4,954,800","4,077,100","877,700",17.7%
Los Angeles,2020,July,"5,058,100","4,122,600","935,500",18.5%
Los Angeles,2020,August,"5,048,700","4,193,300","855,400",16.9%
Los Angeles,2020,September,"4,829,400","4,278,600","550,700",11.4%
Los Angeles,2020,October,"4,868,800","4,362,800","505,900",10.4%
Los Angeles,2020,November,"4,898,200","4,389,900","508,300",10.4%
Los Angeles,2020,December,"4,878,500","4,350,300","528,300",10.8%
Los Angeles,2021,January,"4,886,400","4,345,800","540,600",11.1%
Los Angeles,2021,February,"4,962,100","4,441,100","521,000",10.5%
Los Angeles,2021,March,"4,985,300","4,461,600","523,700",10.5%
Los Angeles,2021,April,"4,992,800","4,479,900","512,900",10.3%
Los Angeles,2021,May,"4,993,700","4,520,000","473,700",9.5%
Los Angeles,2021,June,"5,006,300","4,505,300","501,000",10.0%
Los Angeles,2021,July,"5,037,800","4,560,500","477,300",9.5%
Los Angeles,2021,August,"5,009,100","4,561,800","447,300",8.9%
Los Angeles,2021,September,"5,023,600","4,634,300","389,300",7.7%
Los Angeles,2021,October,"5,028,600","4,666,100","362,500",7.2%
Los Angeles,2021,November,"5,054,100","4,729,200","324,900",6.4%
Los Angeles,2021,December,"5,016,400","4,713,900","302,500",6.0%
Los Angeles,2022,January,"5,046,000","4,714,400","331,600",6.6%
Los Angeles,2022,February,"5,076,300","4,782,800","293,500",5.8%
Los Angeles,2022,March,"5,066,600","4,800,800","265,800",5.2%
Los Angeles,2022,April,"5,019,600","4,776,700","242,800",4.8%
Los Angeles,2022,May,"5,015,400","4,785,500","229,900",4.6%
Los Angeles,2022,June,"4,988,900","4,739,500","249,400",5.0%
Los Angeles,2022,July,"4,995,600","4,751,800","243,800",4.9%
Los Angeles,2022,August,"4,979,700","4,742,200","237,500",4.8%
Los Angeles,2022,September,"5,014,500","4,792,800","221,700",4.4%
Los Angeles,2022,October,"5,005,900","4,776,900","228,900",4.6%
Los Angeles,2022,November,"5,035,900","4,804,000","231,900",4.6%
Los Angeles,2022,December,"5,017,600","4,793,700","223,900",4.5%
Los Angeles,2023,January,"5,034,500","4,778,200","256,400",5.1%
Los Angeles,2023,February,"5,083,600","4,826,900","256,700",5.0%
Los Angeles,2023,March,"5,077,700","4,832,700","244,900",4.8%
Los Angeles,2023,April,"5,035,100","4,815,900","219,200",4.4%
Los Angeles,2023,May,"5,032,400","4,795,500","236,900",4.7%
Los Angeles,2023,June,"5,042,000","4,783,900","258,100",5.1%
Los Angeles,2023,July,"5,042,400","4,774,800","267,600",5.3%
Los Angeles,2023,August,"5,049,100","4,761,200","287,900",5.7%
Los Angeles,2023,September,"5,082,300","4,808,000","274,300",5.4%
Los Angeles,2023,October,"5,063,000","4,800,600","262,400",5.2%
Los Angeles,2023,November,"5,083,400","4,828,400","255,100",5.0%
Los Angeles,2023,December,"5,037,600","4,782,200","255,500",5.1%
Los Angeles,2024,January,"5,080,300","4,795,000","285,400",5.6%
Los Angeles,2024,February,"5,108,800","4,835,900","272,900",5.3%
Los Angeles,2024,March,"5,118,300","4,846,000","272,300",5.3%
Los Angeles,2024,April,"5,076,300","4,822,600","253,800",5.0%
Los Angeles,2024,May,"5,085,600","4,813,300","272,300",5.4%
Los Angeles,2024,June,"5,101,900","4,792,200","309,700",6.1%
Los Angeles,2024,July,"5,136,200","4,793,000","343,200",6.7%
Los Angeles,2024,August,"5,119,800","4,775,300","344,500",6.7%
Los Angeles,2024,September,"5,153,100","4,843,200","310,000",6.0%
Los Angeles,2024,October,"5,125,900","4,819,000","306,800",6.0%
Los Angeles,2024,November,"5,119,700","4,814,900","304,800",6.0%
Los Angeles,2024,December,"5,091,100","4,800,600","290,500",5.7%
Madera,2010,January,"62,800","51,800","11,000",17.5%
Madera,2010,February,"63,300","51,900","11,400",17.9%
Madera,2010,March,"61,000","49,600","11,500",18.8%
Madera,2010,April,"59,500","48,800","10,700",17.9%
Madera,2010,May,"62,600","52,600","10,000",16.0%
Madera,2010,June,"63,000","52,900","10,100",16.0%
Madera,2010,July,"61,000","50,700","10,200",16.8%
Madera,2010,August,"62,100","52,300","9,800",15.8%
Madera,2010,September,"63,100","53,900","9,200",14.5%
Madera,2010,October,"60,900","51,300","9,500",15.7%
Madera,2010,November,"59,900","49,600","10,400",17.3%
Madera,2010,December,"61,400","50,800","10,600",17.3%
Madera,2010,Annual Averages,"61,700","51,400","10,400",16.8%
Madera,2011,January,"62,900","51,800","11,100",17.7%
Madera,2011,February,"63,000","52,000","10,900",17.4%
Madera,2011,March,"60,600","49,600","11,000",18.1%
Madera,2011,April,"59,300","48,900","10,400",17.5%
Madera,2011,May,"60,500","50,900","9,600",15.9%
Madera,2011,June,"60,700","50,700","10,100",16.6%
Madera,2011,July,"61,700","51,600","10,000",16.3%
Madera,2011,August,"62,000","52,400","9,600",15.5%
Madera,2011,September,"63,800","54,800","9,100",14.2%
Madera,2011,October,"62,300","53,200","9,100",14.6%
Madera,2011,November,"61,300","52,000","9,300",15.2%
Madera,2011,December,"63,400","53,700","9,700",15.3%
Madera,2012,January,"63,800","53,600","10,100",15.9%
Madera,2012,February,"63,800","53,600","10,200",16.0%
Madera,2012,March,"61,900","51,600","10,300",16.6%
Madera,2012,April,"59,700","50,100","9,500",16.0%
Madera,2012,May,"63,000","54,100","9,000",14.3%
Madera,2012,June,"62,000","52,700","9,300",15.0%
Madera,2012,July,"61,900","52,700","9,200",14.8%
Madera,2012,August,"62,400","53,900","8,400",13.5%
Madera,2012,September,"63,700","56,000","7,700",12.1%
Madera,2012,October,"62,400","54,500","7,900",12.6%
Madera,2012,November,"61,000","52,800","8,200",13.5%
Madera,2012,December,"62,800","54,100","8,700",13.8%
Madera,2013,January,"63,600","54,100","9,500",14.9%
Madera,2013,February,"63,600","54,500","9,000",14.2%
Madera,2013,March,"61,400","52,500","8,900",14.5%
Madera,2013,April,"61,200","53,000","8,200",13.4%
Madera,2013,May,"63,900","56,400","7,500",11.7%
Madera,2013,June,"63,200","55,300","7,900",12.6%
Madera,2013,July,"61,300","53,400","7,800",12.8%
Madera,2013,August,"63,300","56,100","7,200",11.4%
Madera,2013,September,"62,900","56,100","6,800",10.8%
Madera,2013,October,"61,200","54,200","7,000",11.5%
Madera,2013,November,"59,200","51,900","7,300",12.4%
Madera,2013,December,"60,800","53,300","7,400",12.2%
Madera,2014,January,"63,600","55,400","8,100",12.8%
Madera,2014,February,"63,700","55,500","8,100",12.8%
Madera,2014,March,"62,100","53,800","8,300",13.4%
Madera,2014,April,"61,600","54,400","7,200",11.7%
Madera,2014,May,"62,800","56,100","6,700",10.6%
Madera,2014,June,"62,000","55,300","6,700",10.9%
Madera,2014,July,"61,400","54,500","6,900",11.2%
Madera,2014,August,"62,400","56,100","6,300",10.2%
Madera,2014,September,"62,800","57,100","5,800",9.2%
Madera,2014,October,"60,800","54,800","5,900",9.8%
Madera,2014,November,"58,900","52,100","6,900",11.6%
Madera,2014,December,"59,300","52,200","7,000",11.9%
Madera,2015,January,"60,900","53,300","7,600",12.5%
Madera,2015,February,"61,700","54,400","7,300",11.9%
Madera,2015,March,"59,600","52,200","7,300",12.3%
Madera,2015,April,"59,100","52,600","6,600",11.1%
Madera,2015,May,"60,000","53,800","6,200",10.4%
Madera,2015,June,"60,100","53,900","6,200",10.3%
Madera,2015,July,"59,300","53,200","6,200",10.4%
Madera,2015,August,"60,200","54,600","5,600",9.3%
Madera,2015,September,"60,200","55,100","5,100",8.4%
Madera,2015,October,"58,800","53,400","5,500",9.3%
Madera,2015,November,"58,200","52,200","6,000",10.3%
Madera,2015,December,"59,700","53,500","6,100",10.3%
Madera,2016,January,"64,000","57,500","6,500",10.2%
Madera,2016,February,"65,000","58,600","6,400",9.8%
Madera,2016,March,"63,700","57,100","6,700",10.5%
Madera,2016,April,"63,700","57,700","6,000",9.4%
Madera,2016,May,"64,200","58,900","5,200",8.2%
Madera,2016,June,"63,200","57,500","5,600",8.9%
Madera,2016,July,"62,800","57,200","5,600",8.9%
Madera,2016,August,"63,400","58,300","5,100",8.0%
Madera,2016,September,"64,300","59,600","4,800",7.4%
Madera,2016,October,"63,600","58,600","5,000",7.9%
Madera,2016,November,"62,500","57,200","5,300",8.5%
Madera,2016,December,"63,000","57,200","5,800",9.2%
Madera,2017,January,"64,500","58,100","6,400",9.9%
Madera,2017,February,"64,700","58,400","6,200",9.6%
Madera,2017,March,"63,700","57,700","6,000",9.4%
Madera,2017,April,"63,000","57,600","5,400",8.5%
Madera,2017,May,"63,700","59,000","4,700",7.4%
Madera,2017,June,"63,500","58,600","4,900",7.8%
Madera,2017,July,"62,800","58,000","4,800",7.7%
Madera,2017,August,"63,100","58,600","4,500",7.2%
Madera,2017,September,"64,000","60,100","3,900",6.1%
Madera,2017,October,"62,600","58,800","3,800",6.1%
Madera,2017,November,"62,200","58,000","4,200",6.7%
Madera,2017,December,"63,000","58,400","4,600",7.3%
Madera,2018,January,"64,700","59,500","5,300",8.1%
Madera,2018,February,"66,400","61,100","5,200",7.9%
Madera,2018,March,"64,300","59,200","5,200",8.1%
Madera,2018,April,"62,600","58,000","4,600",7.4%
Madera,2018,May,"64,200","60,200","4,000",6.2%
Madera,2018,June,"63,800","59,500","4,400",6.8%
Madera,2018,July,"62,800","58,600","4,300",6.8%
Madera,2018,August,"62,700","58,900","3,900",6.2%
Madera,2018,September,"64,000","60,600","3,400",5.3%
Madera,2018,October,"63,700","60,100","3,600",5.7%
Madera,2018,November,"62,700","58,800","3,800",6.1%
Madera,2018,December,"64,500","60,000","4,500",7.0%
Madera,2019,January,"65,600","60,100","5,500",8.4%
Madera,2019,February,"66,100","60,900","5,200",7.9%
Madera,2019,March,"64,800","59,600","5,200",8.1%
Madera,2019,April,"63,300","58,800","4,500",7.1%
Madera,2019,May,"64,600","60,800","3,800",5.9%
Madera,2019,June,"64,200","60,000","4,200",6.6%
Madera,2019,July,"63,500","59,100","4,400",6.9%
Madera,2019,August,"64,100","60,200","3,900",6.1%
Madera,2019,September,"64,500","61,100","3,400",5.2%
Madera,2019,October,"63,100","59,600","3,500",5.5%
Madera,2019,November,"63,600","59,700","3,900",6.1%
Madera,2019,December,"65,200","60,800","4,400",6.7%
Madera,2020,January,"65,900","60,700","5,200",7.9%
Madera,2020,February,"66,700","61,600","5,100",7.6%
Madera,2020,March,"65,800","58,300","7,600",11.5%
Madera,2020,April,"62,000","51,300","10,600",17.2%
Madera,2020,May,"62,900","53,600","9,300",14.8%
Madera,2020,June,"63,600","55,700","8,000",12.5%
Madera,2020,July,"62,300","54,700","7,600",12.2%
Madera,2020,August,"63,300","57,100","6,200",9.8%
Madera,2020,September,"62,600","56,700","5,900",9.4%
Madera,2020,October,"61,300","55,900","5,300",8.7%
Madera,2020,November,"61,000","55,500","5,600",9.1%
Madera,2020,December,"62,200","56,200","6,000",9.6%
Madera,2021,January,"64,200","57,700","6,500",10.2%
Madera,2021,February,"64,700","58,100","6,600",10.2%
Madera,2021,March,"63,400","57,000","6,500",10.2%
Madera,2021,April,"62,400","56,200","6,200",10.0%
Madera,2021,May,"64,100","58,500","5,600",8.8%
Madera,2021,June,"64,700","58,500","6,200",9.6%
Madera,2021,July,"63,900","58,200","5,800",9.0%
Madera,2021,August,"65,300","60,100","5,300",8.0%
Madera,2021,September,"64,200","59,700","4,500",7.0%
Madera,2021,October,"63,500","59,100","4,400",6.9%
Madera,2021,November,"64,000","59,800","4,200",6.6%
Madera,2021,December,"64,900","60,700","4,200",6.5%
Madera,2022,January,"66,700","61,600","5,000",7.6%
Madera,2022,February,"66,900","62,200","4,800",7.1%
Madera,2022,March,"65,000","60,600","4,400",6.8%
Madera,2022,April,"64,400","60,600","3,900",6.0%
Madera,2022,May,"65,200","61,700","3,400",5.3%
Madera,2022,June,"64,800","61,000","3,800",5.9%
Madera,2022,July,"64,400","60,700","3,700",5.8%
Madera,2022,August,"66,000","62,400","3,600",5.5%
Madera,2022,September,"65,900","62,600","3,300",5.0%
Madera,2022,October,"65,600","62,000","3,600",5.5%
Madera,2022,November,"64,800","60,800","4,000",6.2%
Madera,2022,December,"67,000","62,900","4,200",6.2%
Madera,2023,January,"66,300","61,200","5,100",7.6%
Madera,2023,February,"68,100","62,500","5,500",8.1%
Madera,2023,March,"67,300","61,700","5,600",8.4%
Madera,2023,April,"67,300","62,500","4,800",7.1%
Madera,2023,May,"69,400","64,800","4,600",6.7%
Madera,2023,June,"69,500","64,700","4,800",7.0%
Madera,2023,July,"68,900","64,200","4,700",6.8%
Madera,2023,August,"69,500","64,800","4,700",6.8%
Madera,2023,September,"69,400","65,200","4,200",6.0%
Madera,2023,October,"68,400","63,900","4,500",6.5%
Madera,2023,November,"67,800","63,200","4,600",6.8%
Madera,2023,December,"68,400","63,400","5,000",7.3%
Madera,2024,January,"68,900","63,200","5,700",8.2%
Madera,2024,February,"69,300","63,300","6,000",8.6%
Madera,2024,March,"68,600","62,800","5,900",8.6%
Madera,2024,April,"69,300","64,100","5,300",7.6%
Madera,2024,May,"70,500","65,700","4,800",6.8%
Madera,2024,June,"70,400","65,200","5,200",7.4%
Madera,2024,July,"70,400","64,800","5,500",7.9%
Madera,2024,August,"70,800","65,700","5,200",7.3%
Madera,2024,September,"70,400","65,800","4,500",6.4%
Madera,2024,October,"69,100","64,400","4,700",6.8%
Madera,2024,November,"68,600","63,600","5,100",7.4%
Madera,2024,December,"69,400","64,100","5,300",7.7%
Mariposa,2010,January,"8,260","6,930","1,340",16.2%
Mariposa,2010,February,"8,320","6,980","1,340",16.1%
Mariposa,2010,March,"8,370","7,050","1,320",15.8%
Mariposa,2010,April,"8,530","7,400","1,130",13.2%
Mariposa,2010,May,"8,600","7,580","1,020",11.9%
Mariposa,2010,June,"9,210","8,200","1,010",11.0%
Mariposa,2010,July,"9,470","8,430","1,040",11.0%
Mariposa,2010,August,"9,420","8,390","1,030",10.9%
Mariposa,2010,September,"9,110","8,100","1,010",11.1%
Mariposa,2010,October,"8,690","7,670","1,020",11.7%
Mariposa,2010,November,"8,260","7,080","1,190",14.3%
Mariposa,2010,December,"8,400","7,160","1,250",14.9%
Mariposa,2011,January,"8,390","7,020","1,370",16.4%
Mariposa,2011,February,"8,350","7,000","1,350",16.2%
Mariposa,2011,March,"8,250","6,950","1,310",15.8%
Mariposa,2011,April,"8,440","7,290","1,140",13.6%
Mariposa,2011,May,"8,500","7,450","1,050",12.4%
Mariposa,2011,June,"9,020","7,930","1,090",12.1%
Mariposa,2011,July,"9,410","8,350","1,070",11.3%
Mariposa,2011,August,"9,410","8,390","1,020",10.9%
Mariposa,2011,September,"9,130","8,140",990,10.8%
Mariposa,2011,October,"8,460","7,470","1,000",11.8%
Mariposa,2011,November,"7,980","6,910","1,070",13.4%
Mariposa,2011,December,"8,190","7,000","1,190",14.6%
Mariposa,2012,January,"7,730","6,440","1,290",16.7%
Mariposa,2012,February,"7,800","6,540","1,260",16.1%
Mariposa,2012,March,"7,810","6,590","1,220",15.6%
Mariposa,2012,April,"8,000","6,960","1,050",13.1%
Mariposa,2012,May,"8,390","7,430",960,11.4%
Mariposa,2012,June,"9,140","8,160",980,10.7%
Mariposa,2012,July,"9,230","8,250",980,10.6%
Mariposa,2012,August,"9,170","8,240",930,10.1%
Mariposa,2012,September,"8,990","8,140",850,9.5%
Mariposa,2012,October,"8,360","7,510",860,10.2%
Mariposa,2012,November,"7,810","6,900",910,11.7%
Mariposa,2012,December,"7,790","6,770","1,020",13.0%
Mariposa,2013,January,"7,670","6,550","1,120",14.6%
Mariposa,2013,February,"7,620","6,580","1,040",13.6%
Mariposa,2013,March,"7,690","6,690",990,12.9%
Mariposa,2013,April,"7,880","7,000",870,11.1%
Mariposa,2013,May,"8,360","7,600",760,9.1%
Mariposa,2013,June,"9,030","8,220",810,8.9%
Mariposa,2013,July,"9,060","8,280",780,8.7%
Mariposa,2013,August,"8,950","8,210",740,8.2%
Mariposa,2013,September,"8,830","8,110",720,8.1%
Mariposa,2013,October,"8,170","7,260",910,11.2%
Mariposa,2013,November,"7,650","6,810",840,10.9%
Mariposa,2013,December,"7,610","6,720",890,11.6%
Mariposa,2014,January,"7,410","6,410","1,000",13.5%
Mariposa,2014,February,"7,560","6,620",940,12.4%
Mariposa,2014,March,"7,600","6,680",910,12.0%
Mariposa,2014,April,"7,770","7,060",710,9.2%
Mariposa,2014,May,"8,160","7,540",630,7.7%
Mariposa,2014,June,"8,710","8,080",640,7.3%
Mariposa,2014,July,"8,830","8,180",660,7.4%
Mariposa,2014,August,"8,780","8,150",630,7.1%
Mariposa,2014,September,"8,680","8,100",570,6.6%
Mariposa,2014,October,"8,200","7,610",580,7.1%
Mariposa,2014,November,"7,750","7,080",670,8.6%
Mariposa,2014,December,"7,580","6,880",700,9.3%
Mariposa,2015,January,"7,540","6,750",790,10.5%
Mariposa,2015,February,"7,410","6,630",780,10.6%
Mariposa,2015,March,"7,520","6,790",730,9.7%
Mariposa,2015,April,"7,750","7,190",570,7.3%
Mariposa,2015,May,"8,210","7,680",520,6.4%
Mariposa,2015,June,"8,640","8,140",500,5.8%
